Fecha,Provincia,Diario,Acumulado
31/03/20,Santa Cruz,0,9
31/03/20,Santa Fe,22,133
31/03/20,Santiago del Estero,0,2
31/03/20,Tierra del Fuego,7,39
31/03/20,Tucumán,1,16



































